step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
42,124880,336,0.3510095786083879,0.0,0.5672782874617737
43,128408,344,0.44455839113809303,0.0,0.5885471898197243
44,135200,352,0.31195599641329325,0.0,0.5394736842105263
45,138088,360,0.6923384809086984,0.0,0.5316804407713499
46,141360,368,0.41890024757142463,0.0,0.5248041775456919
47,143864,376,0.5565386787337775,0.0,0.559610705596107
48,145920,384,0.6412303434788449,0.0,0.5315186246418339
49,150088,392,0.504390655388121,0.0,0.5787461773700305
50,154000,400,0.34160296090944947,0.0,0.5770653514180024
51,157208,408,0.5370954269350068,0.0,0.5444096133751306
52,159584,416,0.5899599624444629,0.0,0.550326797385621
53,162856,424,0.5547758141598687,0.0,0.5898148148148148
54,165616,432,0.645821132171714,0.0,0.5623800383877159
55,169016,440,0.4436277769757689,0.0,0.5644444444444444
56,174464,448,0.34195904802311816,0.0,0.598546042003231
57,176584,456,0.566296433400117,0.0,0.521671826625387
58,180304,464,0.530087224823029,0.0,0.5591872791519434
59,182168,472,0.6893832483036487,0.0,0.5209840810419681
60,187552,480,0.37249376611966534,0.0,0.5979299363057324
61,190760,488,0.40303055992594017,0.0,0.5624142661179699
62,194608,496,0.44106949232433595,0.0,0.6119673617407072
63,198776,504,0.4453698175391658,0.0,0.5961705831157529
64,202112,512,0.4347922707844486,0.0,0.579841449603624
65,205128,520,0.5104015813458463,0.0,0.588865096359743
66,208336,528,0.4923743027332636,0.0,0.566410537870472
67,211096,536,0.5809048200593531,0.0,0.5769633507853403
68,215520,544,0.4546288862010966,0.0,0.5516328331862312
69,218792,552,0.5769081116148125,0.0,0.6078925272879933
70,222896,560,0.40284552650002736,0.0,0.5738219895287958
71,226744,568,0.3711829532867339,0.0,0.575326215895611
72,230208,576,0.4331700184685888,0.0,0.6141248720573184
73,233800,584,0.6673332075182251,0.0,0.5636918382913806
74,236240,592,0.4941247112062902,0.0,0.575880758807588
75,240280,600,0.5381228465464278,0.0,0.5377932232841007
76,242336,608,0.6027992973508179,0.0,0.5949685534591195
77,245800,616,0.43628632456342725,0.0,0.5749167591564928
78,249648,624,0.5024469915176708,0.0,0.561487130600572
79,253560,632,0.42900892800245927,0.0,0.5787401574803149
80,256000,640,0.4969363325499052,0.0,0.5712290502793296
81,260424,648,0.4855226854315782,0.0,0.5155393053016454
82,263120,656,0.4320348640535644,0.0,0.5949535192563081
83,266392,664,0.4996637342835227,0.0,0.5887573964497042
